soc2,acs_label,acs_all_2019,acs_all_2021,acs_fulltime_2019,acs_fulltime_2021,oes_2019,oes_2021
,"Management, business, science, and arts occupations:",63267357,66001412,49569176,51490946,,
,"Management, business, and financial occupations:",25587202,27077868,21998717,22917749,,
11,Management occupations,17049444,17736448,14867734,15169064,8054120,8909910
13,Business and financial operations occupations,8537758,9341420,7130983,7748685,8183750,9053790
,"Computer, engineering, and science occupations:",10181740,11137729,8747777,9540113,,
15,Computer and mathematical occupations,5231914,5764677,4554097,5029627,4552880,4654750
17,Architecture and engineering occupations,3283825,3535216,2889590,3056719,2592680,2436520
19,"Life, physical, and social science occupations",1666001,1837836,1304090,1453767,1288920,1273640
,"Education, legal, community service, arts, and media occupations:",17741328,17730679,11641414,11786704,,
21,Community and social service occupations,2865705,2814208,2135382,2084760,2244310,2239680
23,Legal occupations,1804178,1931867,1492512,1576225,1150780,1178140
25,"Educational instruction, and library occupations",9822473,9812397,6042723,6261803,8886600,8191930
27,"Arts, design, entertainment, sports, and media occupations",3248972,3172207,1970797,1863916,2017810,1815290
29,Healthcare practitioners and technical occupations:,9757087,10055136,7181268,7246380,8673140,8787730
,Health diagnosing and treating practitioners and other technical occupations,6648380,6951286,4928809,5074614,,
,Health technologists and technicians,3108707,3103850,2252459,2171766,,
,Service occupations:,28093795,25151071,15621402,13011311,,
31,Healthcare support occupations,5348914,5197470,3198658,2964496,6521790,6603680
33,Protective service occupations:,3447960,3316161,2744803,2657117,3498800,3385030
,"Firefighting and prevention, and other protective service workers including supervisors",1935137,1789910,1342840,1247475,,
,Law enforcement workers including supervisors,1512823,1526251,1401963,1409642,,
35,Food preparation and serving related occupations,9029677,7663246,3965189,2787670,13494590,11201480
37,Building and grounds cleaning and maintenance occupations,5878084,5297420,3612735,3093287,4429100,4108810
39,Personal care and service occupations,4389160,3676774,2100017,1508741,3303200,2566440
,Sales and office occupations:,32354582,31329510,22067147,20746616,,
41,Sales and related occupations,15514456,14472146,9988596,8996896,14371410,13256290
43,Office and administrative support occupations,16840126,16857364,12078551,11749720,19528250,18299380
,"Natural resources, construction, and maintenance occupations:",14041340,13368928,11085254,10065492,,
45,"Farming, fishing, and forestry occupations",997360,914134,637767,579905,484750,452490
47,Construction and extraction occupations,8181101,7617149,6272018,5491759,6194140,5848950
49,"Installation, maintenance, and repair occupations",4862879,4837645,4175469,3993828,5713450,5574410
,"Production, transportation, and material moving occupations:",21001720,20529512,15561660,14230799,,
51,Production occupations,8871933,8462862,7324192,6513044,9158980,8408030
53,Transportation and material moving occupations,12129787,12066650,8237468,7717755,12532030,12639920
,Transportation occupations,6260219,5796176,4454627,3924770,,
,Material moving occupations,5869568,6270474,3782841,3792985,,
