year,period,periodName,value,footnotes
2021,M12,December,31,[{}]
2021,M11,November,29,[{}]
2021,M10,October,35,[{}]
2021,M09,September,34,[{}]
2021,M08,August,31,[{}]
2021,M07,July,31,[{}]
2021,M06,June,30,[{}]
2021,M05,May,30,[{}]
2021,M04,April,27,[{}]
2021,M03,March,22,[{}]
2021,M02,February,21,[{}]
2021,M01,January,22,[{}]
2020,M12,December,18,[{}]
2020,M11,November,16,[{}]
2020,M10,October,21,[{}]
2020,M09,September,19,[{}]
2020,M08,August,19,[{}]
2020,M07,July,19,[{}]
2020,M06,June,17,[{}]
2020,M05,May,20,[{}]
2020,M04,April,16,[{}]
2020,M03,March,19,[{}]
2020,M02,February,23,[{}]
2020,M01,January,23,[{}]
2019,M12,December,19,[{}]
2019,M11,November,18,[{}]
2019,M10,October,27,[{}]
2019,M09,September,25,[{}]
2019,M08,August,27,[{}]
2019,M07,July,25,[{}]
2019,M06,June,27,[{}]
2019,M05,May,30,[{}]
2019,M04,April,27,[{}]
2019,M03,March,25,[{}]
2019,M02,February,24,[{}]
2019,M01,January,39,[{}]
