O*NET-SOC Code	Reported Job Title	Shown in My Next Move
11-1011.00	Chief Diversity Officer (CDO)	N
11-1011.00	Chief Executive Officer (CEO)	Y
11-1011.00	Chief Financial Officer (CFO)	Y
11-1011.00	Chief Nursing Officer	N
11-1011.00	Chief Operating Officer (COO)	Y
11-1011.00	Executive Director	Y
11-1011.00	Executive Vice President (EVP)	N
11-1011.00	Operations Vice President (Operations VP)	N
11-1011.03	Chief Sustainability Officer (CSO)	Y
11-1011.03	Corporate Sustainability Process Manager	N
11-1011.03	CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President)	N
11-1011.03	Sustainability Chancellor	N
11-1011.03	Sustainability Chief	N
11-1011.03	Sustainability Director	Y
11-1011.03	Sustainability Initiatives Vice President (Sustainability Initiatives VP)	N
11-1011.03	Sustainability Manager	Y
11-1011.03	Sustainability Programs Director	N
11-1011.03	Sustainable Design Director	Y
11-1021.00	Business Manager	N
11-1021.00	General Manager (GM)	Y
11-1021.00	Operations Director	Y
11-1021.00	Operations Manager	Y
11-1021.00	Plant Superintendent	N
11-1021.00	Store Manager	Y
11-2011.00	Account Executive	N
11-2011.00	Advertising Manager (Ad Manager)	Y
11-2011.00	Advertising Sales Manager (Ad Sales Manager)	N
11-2011.00	Classified Advertising Manager (Classified Ad Manager)	N
11-2011.00	Communications Director	N
11-2011.00	Communications Manager	Y
11-2011.00	Creative Services Director	N
11-2011.00	Marketing and Promotions Manager	N
11-2011.00	Promotions Director	Y
11-2011.00	Promotions Manager	Y
11-2021.00	Account Supervisor	N
11-2021.00	Brand Manager	Y
11-2021.00	Business Development Director	N
11-2021.00	Business Development Manager	Y
11-2021.00	Commercial Lines Manager	N
11-2021.00	Market Development Executive	N
11-2021.00	Marketing Coordinator	N
11-2021.00	Marketing Director	Y
11-2021.00	Marketing Manager	Y
11-2021.00	Product Manager	N
11-2022.00	District Sales Manager	Y
11-2022.00	National Sales Manager	N
11-2022.00	Regional Sales Manager	N
11-2022.00	Sales and Marketing Vice President (Sales and Marketing VP)	N
11-2022.00	Sales Director	Y
11-2022.00	Sales Manager	Y
11-2022.00	Sales Supervisor	N
11-2022.00	Sales Vice President (Sales VP)	Y
11-2032.00	Communications Director	Y
11-2032.00	Communications Manager	N
11-2032.00	Community Relations Director	Y
11-2032.00	Development Director	N
11-2032.00	Public Affairs Director	Y
11-2032.00	Public Relations Director (PR Director)	Y
11-2032.00	Public Relations Manager (PR Manager)	N
11-2033.00	Account Supervisor	Y
11-2033.00	Annual Giving Director	Y
11-2033.00	Development Director	Y
11-3012.00	Administrative Coordinator	Y
11-3012.00	Administrative Director	N
11-3012.00	Administrative Manager	Y
11-3012.00	Administrative Officer	Y
11-3012.00	Administrator	N
11-3012.00	Business Administrator	Y
11-3012.00	Business Manager	N
11-3013.00	Facilities Manager	Y
11-3013.01	Corporate Physical Security Supervisor	Y
11-3013.01	Corporate Security Manager	Y
11-3013.01	Security Director	Y
11-3013.01	Security Manager	Y
11-3021.00	Application Development Director	N
11-3021.00	Computing Services Director	N
11-3021.00	Data Processing Manager	N
11-3021.00	Information Systems Director (IS Director)	Y
11-3021.00	Information Systems Manager (IS Manager)	Y
11-3021.00	Information Systems Supervisor (IS Supervisor)	N
11-3021.00	Information Technology Director (IT Director)	Y
11-3021.00	Information Technology Manager (IT Manager)	Y
11-3021.00	MIS Director (Management Information Systems Director)	N
11-3021.00	Technical Services Manager	N
11-3031.00	Accounting Supervisor	N
11-3031.00	Banking Center Manager (BCM)	Y
11-3031.00	Branch Manager	Y
11-3031.00	Business Banking Manager	N
11-3031.00	Credit Administration Manager	Y
11-3031.00	Credit Manager	N
