year,month,state,jolts
2021,12,AL,137000
2021,11,AL,150000
2021,10,AL,160000
2021,09,AL,145000
2021,08,AL,149000
2021,07,AL,157000
2021,06,AL,143000
2021,05,AL,144000
2021,04,AL,144000
2021,03,AL,109000
2021,02,AL,119000
2021,01,AL,112000
2020,12,AL,103000
2020,11,AL,96000
2020,10,AL,109000
2020,09,AL,104000
2020,08,AL,107000
2020,07,AL,109000
2020,06,AL,84000
2020,05,AL,96000
2020,04,AL,75000
2020,03,AL,77000
2020,02,AL,97000
2020,01,AL,96000
2019,12,AL,77000
2019,11,AL,88000
2019,10,AL,106000
2019,09,AL,103000
2019,08,AL,91000
2019,07,AL,96000
2019,06,AL,99000
2019,05,AL,100000
2019,04,AL,107000
2019,03,AL,99000
2019,02,AL,86000
2019,01,AL,92000
2021,12,AK,29000
2021,11,AK,23000
2021,10,AK,25000
2021,09,AK,41000
2021,08,AK,41000
2021,07,AK,33000
2021,06,AK,41000
2021,05,AK,34000
2021,04,AK,25000
2021,03,AK,21000
2021,02,AK,21000
2021,01,AK,20000
2020,12,AK,17000
2020,11,AK,15000
2020,10,AK,17000
2020,09,AK,17000
2020,08,AK,19000
2020,07,AK,23000
2020,06,AK,19000
2020,05,AK,18000
2020,04,AK,15000
2020,03,AK,17000
2020,02,AK,22000
2020,01,AK,21000
2019,12,AK,17000
2019,11,AK,15000
2019,10,AK,18000
2019,09,AK,18000
2019,08,AK,22000
2019,07,AK,27000
2019,06,AK,34000
2019,05,AK,37000
2019,04,AK,24000
2019,03,AK,21000
2019,02,AK,23000
2019,01,AK,20000
2021,12,AZ,220000
2021,11,AZ,204000
2021,10,AZ,244000
2021,09,AZ,209000
2021,08,AZ,237000
2021,07,AZ,236000
2021,06,AZ,188000
2021,05,AZ,209000
2021,04,AZ,202000
2021,03,AZ,171000
2021,02,AZ,176000
2021,01,AZ,173000
2020,12,AZ,160000
2020,11,AZ,141000
2020,10,AZ,181000
2020,09,AZ,153000
2020,08,AZ,174000
2020,07,AZ,152000
2020,06,AZ,125000
2020,05,AZ,127000
2020,04,AZ,123000
2020,03,AZ,120000
2020,02,AZ,153000
2020,01,AZ,166000
2019,12,AZ,138000
2019,11,AZ,142000
2019,10,AZ,151000
2019,09,AZ,169000
2019,08,AZ,162000
